style,budget,images,psnr,ssim,de,de99,deSal,cov,bytes,np,msTotal
voronoi,16,48,16.598541666666666,0.4020729166666667,12.484812499999999,41.403979166666666,,0.59606875,93,16,1593.0070833333336
voronoi,32,48,17.241249999999994,0.4021375,11.3251875,40.12066666666667,,0.64955,173,32,1645.6602083333328
voronoi,64,48,17.791937500000003,0.4014270833333333,10.347937499999995,38.95941666666666,,0.6943791666666667,332.5833333333333,63.916666666666664,1633.048125
voronoi,128,48,18.617250000000002,0.4046666666666667,9.098874999999998,37.408270833333326,,0.7220166666666668,653,128,1706.8739583333336
voronoi,256,48,19.252666666666666,0.4096458333333333,8.22,36.055749999999996,,0.74290625,1290.8125,255.5625,1801.8506250000003
voronoi,512,48,20.026166666666665,0.42168749999999994,7.3290625,34.18272916666666,,0.7585812500000001,2564.1458333333335,510.2291666666667,2048.476666666667
voronoi,1024,48,20.90410416666667,0.44941458333333345,6.4545416666666675,31.837770833333337,,0.7704749999999999,5101.125,1017.625,2538.6872916666666
voronoi,2048,48,21.816666666666674,0.4939,5.679770833333333,29.585125,,0.781558333333333,10117.479166666666,2020.8958333333333,3341.4966666666646
tri-tiled,16,48,16.710770833333328,0.41249166666666687,12.482854166666664,39.33789583333333,,0.4988791666666667,364,38,1576.0320833333337
tri-tiled,32,48,17.2715,0.41619166666666657,11.447875000000002,37.89552083333333,,0.5785937500000001,635.1458333333334,69.875,1593.458333333333
tri-tiled,64,48,17.93433333333333,0.4207145833333334,10.339083333333335,37.238375000000005,,0.6346729166666667,1178.2916666666667,133.75,1742.9714583333334
tri-tiled,128,48,18.656625000000002,0.4262145833333333,9.270708333333333,35.61935416666666,,0.6819145833333332,2264.8333333333335,261.5416666666667,1911.552083333333
tri-tiled,256,51,19.38105882352941,0.43003333333333327,8.291529411764708,34.01180392156863,,0.708029411764706,4463.9607843137255,516.7058823529412,2562.922156862745
tri-tiled,512,48,20.286458333333332,0.4542895833333333,7.3317499999999995,31.532833333333325,,0.7358312499999999,8760.416666666666,1025.5625,3184.7608333333337
tri-tiled,1024,50,21.21502,0.480906,6.42062,29.48229999999999,,0.7463700000000002,17383.36,2039.86,5122.4408
tri-tiled,2048,48,22.225416666666664,0.5250958333333334,5.596604166666666,26.984833333333324,,0.7660187500000002,34424.541666666664,4044.5833333333335,10210.761458333334
tri-splat,16,48,15.738291666666667,0.3837479166666667,13.30795833333333,47.71883333333334,,0.6609791666666666,141,16,1630.0527083333334
tri-splat,32,48,16.301812499999997,0.38405208333333324,12.116708333333335,47.81897916666667,,0.7160916666666668,268.8333333333333,31.979166666666668,1692.9877083333329
tri-splat,64,48,16.916124999999997,0.3819500000000002,10.991145833333329,46.40225,,0.7488166666666664,525,64,1793.675625
tri-splat,128,50,17.53704,0.38510799999999995,9.9012,44.801,,0.7405200000000001,1036.36,127.92,2057.4455999999996
tri-splat,256,69,18.43349275362319,0.38946811594202907,8.631811594202901,42.24685507246377,,0.7500942028985503,2058.217391304348,255.65217391304347,3385.26463768116
tri-splat,512,58,19.141948275862077,0.4088344827586207,7.764706896551719,39.87010344827586,,0.7623810344827588,4095.344827586207,510.2931034482759,3946.246724137931
tri-splat,1024,51,19.526764705882353,0.4378823529411766,7.46335294117647,38.087294117647055,,0.788678431372549,8151.823529411765,1017.3529411764706,5614.843921568627
tri-splat,2048,52,20.597403846153853,0.48078653846153857,6.36101923076923,34.95769230769231,,0.7919384615384615,16198.538461538461,2023.1923076923076,9639.731923076923
