style,budget,images,psnr,ssim,de,de99,deSal,cov,bytes,np,msTotal
voronoi,16,48,16.598541666666666,0.4020729166666667,12.484812499999999,41.403979166666666,,0.59606875,93,16,2344.8662499999996
voronoi,32,48,17.241249999999994,0.4021375,11.3251875,40.12066666666667,,0.64955,173,32,2369.0577083333333
voronoi,64,48,17.791937500000003,0.4014270833333333,10.347937499999995,38.95941666666666,,0.6943791666666667,332.5833333333333,63.916666666666664,2383.1145833333344
voronoi,128,48,18.617250000000002,0.4046666666666667,9.098874999999998,37.408270833333326,,0.7220166666666668,653,128,2447.457083333333
voronoi,192,1,18.291,0.2026,10.795,38.853,,0.6664,973,192,3809.84
voronoi,256,52,19.253384615384615,0.40573076923076923,8.198884615384616,36.09455769230769,,0.7396250000000001,1290.9807692307693,255.59615384615384,4241.779230769231
voronoi,512,48,20.026166666666665,0.42168749999999994,7.3290625,34.18272916666666,,0.7585812500000001,2564.1458333333335,510.2291666666667,3011.307916666667
voronoi,1024,51,20.8931568627451,0.4485039215686277,6.425627450980393,31.949901960784317,,0.7668725490196079,5103,1018,7272.713725490196
voronoi,2048,49,21.782061224489805,0.4898448979591837,5.7154693877551015,29.628673469387756,,0.7799857142857141,10120.244897959185,2021.4489795918366,5697.967346938776
delaunay,16,48,16.74654166666667,0.4126270833333332,12.370062500000001,39.20295833333333,,0.5066833333333333,363.375,37.895833333333336,2405.1675
delaunay,32,48,17.2841875,0.41633541666666657,11.410250000000003,38.270416666666655,,0.5691333333333334,635.5,69.91666666666667,2451.6554166666674
delaunay,64,48,17.93364583333333,0.42033958333333327,10.360583333333333,37.207874999999994,,0.6372875,1178.625,133.77083333333334,2526.373958333333
delaunay,128,48,18.664395833333334,0.4260041666666667,9.250874999999997,35.39808333333334,,0.6844604166666669,2264.9583333333335,261.5625,2733.42125
delaunay,256,55,19.350799999999996,0.42530363636363644,8.303018181818178,34.412800000000004,,0.7050745454545452,4466.290909090909,517.2181818181818,5010.850545454546
delaunay,512,48,20.259354166666675,0.45399375,7.337270833333334,31.537979166666663,,0.7346812500000001,8766.583333333334,1026.3125,4491.964166666668
delaunay,1024,53,21.22950943396226,0.4798018867924529,6.378000000000002,29.574094339622643,,0.744666037735849,17384.98113207547,2040.1132075471698,9780.341698113205
delaunay,2048,48,22.24468750000001,0.5250916666666666,5.585645833333333,26.7495625,,0.765745833333333,34436.125,4045.9583333333335,12184.0075
voro-fan,16,48,16.425916666666662,0.40815625,12.932562499999998,41.099687499999995,,0.5326270833333333,755.9791666666666,82.16666666666667,2426.0179166666667
voro-fan,32,48,16.98958333333334,0.4093291666666666,11.738770833333335,39.753208333333326,,0.6050895833333335,1534.8333333333333,172.58333333333334,2620.1331250000003
voro-fan,64,48,17.615,0.41046874999999994,10.723666666666666,39.11922916666666,,0.6599333333333334,3108.2291666666665,355.9791666666667,2950.0285416666666
voro-fan,128,48,18.27972916666667,0.4133645833333333,9.673166666666669,37.340375,,0.6978291666666666,6277.583333333333,727.8333333333334,3630.075833333333
voro-fan,256,48,19.003999999999998,0.4200479166666667,8.633291666666665,35.745625,,0.7242000000000003,12643.770833333334,1476.3125,5057.536458333334
voro-fan,512,48,19.78258333333334,0.43231875000000014,7.727875,33.88797916666666,,0.7461666666666668,25405.625,2980.25,8271.089166666665
voro-fan,1024,48,20.68502083333333,0.45570000000000016,6.784020833333332,31.861000000000004,,0.7597833333333334,50909.354166666664,5989.916666666667,15078.13479166667
voro-fan,2048,48,21.536104166666664,0.4901458333333333,5.9980625000000005,29.50583333333333,,0.7723708333333335,101374.66666666667,11954.916666666666,27024.771249999994
cell-tris,16,48,15.467895833333332,0.37964375000000006,14.889874999999998,41.4410625,,0.29394166666666666,432,16,2411.1091666666666
cell-tris,32,48,15.686124999999997,0.36633750000000015,14.383479166666662,41.37352083333333,,0.3383229166666666,847.4583333333334,31.979166666666668,2449.473333333334
cell-tris,64,48,15.914833333333336,0.3493291666666667,13.769395833333334,41.20997916666666,,0.3642145833333334,1678.9166666666667,63.958333333333336,2520.0016666666666
cell-tris,128,48,16.174916666666665,0.32734583333333334,13.12129166666667,40.48516666666667,,0.3932895833333334,3341.8333333333335,127.91666666666667,2826.3406250000007
cell-tris,256,48,16.418145833333337,0.30433125,12.559541666666668,40.03131250000001,,0.40589166666666654,6663.875,255.6875,3256.0862500000007
cell-tris,512,48,16.65739583333333,0.2762437500000001,12.012479166666663,39.2766875,,0.4235562500000001,13280.875,510.1875,4270.528750000001
cell-tris,1024,48,16.893375000000002,0.25445,11.498854166666666,38.910666666666664,,0.42706875000000005,26474.791666666668,1017.6458333333334,6227.346458333333
cell-tris,2048,48,17.123604166666674,0.2477145833333333,10.978687500000005,38.543125,,0.4370604166666667,52593.416666666664,2022.2083333333333,10158.74104166667
tri-gauss,16,48,16.15177083333333,0.3927375,13.328541666666668,41.22077083333334,,0.5273937500000001,141,16,2438.6324999999993
tri-gauss,32,48,16.840645833333337,0.3937937499999998,11.928437499999996,40.755250000000004,,0.6374458333333334,269,32,2571.473125
tri-gauss,64,48,17.44375,0.3932020833333334,10.837166666666668,40.32125000000001,,0.6789291666666667,524.6666666666666,63.958333333333336,2817.571458333334
tri-gauss,128,48,18.13685416666667,0.3947458333333333,9.74025,38.70629166666668,,0.7115187500000001,1036.3333333333333,127.91666666666667,3386.0156249999986
tri-gauss,256,58,18.89584482758621,0.39307586206896555,8.576172413793106,37.42320689655172,,0.7254896551724136,2058.3793103448274,255.67241379310346,5186.6772413793105
tri-gauss,512,57,19.581596491228073,0.4088245614035087,7.711140350877192,35.94071929824562,,0.7412175438596491,4097.631578947368,510.57894736842104,6817.553333333335
tri-gauss,1024,51,20.353176470588238,0.4332411764705882,6.832411764705882,34.42486274509804,,0.7604450980392152,8157.313725490196,1018.0392156862745,10319.45921568627
tri-gauss,2048,52,21.12013461538462,0.4682173076923076,6.092057692307693,32.693673076923076,,0.7740038461538459,16203.153846153846,2023.7692307692307,16975.669615384613
